keys|values
blaming|51
drinking.|1
maintian|1
plaind|1
munafiq|6
wre|1
wednesday.|1
individuals.|19
awliya|1
shb|2
huzur|1
policyand|1
selection.|1
liberal,|1
dresses..being|1
haterate|1
cartoona.for|1
heard|40
add|352
reconsidered.|1
2017.in|2
dhula.|19
publicized]|7
misdirecting|6
corruption|23
contury|1
jagah|1
rahmatullahi|1
channel.|511
agent...|1
intruding|1
muslims.amir|1
dollar|1
11:30am|1
decency|23
england,|1
bikes|2
province?|1
through.|5
him).|2
chaleyga|2
that!|1
it..|8
abvertisement|11
prophethood|1
teansmission|1
spokesperson.|1
innocence.|3
slaps|3
https://www.facebook.com/hamood.ahmed.165/videos/1457789440912216/|1
.hyderabad|3
dar|2
1)|51
maula|1
pungent.|1
thought,|2
koab|1
work.|27
imrans|1
contempt|15
here;|4
iske|2
children(girls)|1
diverted|1
gustakhe|2
showed|91
coyld|1
dramas,please|1
assumptions|4
information:|2
growing|12
virtues.|1
masses.he|1
results.|3
1915|1
subhanallah,|1
dramma|1
out:|1
fascinating|1
kalams|1
hameed|1
destabilize|14
d,|24
naik...|2
naike|1
saba|3
respect,|12
propective|1
murdaa|2
logical|3
unpleasent|1
whip|1
dislike|3
sextual|27
pakistan....you|3
cable|190
thoroughly.|1
mr.sahir|2
pain.|2
umah...|1
talk..|1
recognized,|27
crosses|2
police?|1
unity.the|1
loat|1
persecution|1
mber|4
frot|1
discipline|1
disharmony|29
24:19)|6
it...he|1
khawaja|9
continuesly|4
lid|2
moon|1
complaints??|1
baned|38
suspicious|3
,dramas|1
spin|2
aaqa|1
alag|1
get|309
concerning|11
scurrility.|1
pml-n|2
sehtti|1
maniac|1
qark|1
fueling|7
false,|9
channeles|1
expose|14
alleging|8
drill|1
lince|1
guard|12
stranger|1
unverified,|3
dw|2
recovery|3
disastrous|5
(dardan|1
xi|2
contents|258
motivation|16
lodhes|1
people(aamir|1
misconceptions|35
bloodshed|10
bully,|1
spells.|32
rt|5
sensibily|1
dramas...|1
outbreak|1
